trial	strategy	probability
0	0	0.053068172
0	1	0.28633246
0	2	0.29259807
0	3	0.3680013
1	0	5.6091045e-05
1	1	0.13151346
1	2	0.43242043
1	3	0.43601003
2	0	5.9286105e-08
2	1	0.03635603
2	2	0.42845744
2	3	0.5351865
3	0	6.2663166e-11
3	1	0.010035109
3	2	0.35691714
3	3	0.6330478
4	0	6.623259e-14
4	1	0.0027699072
4	2	0.2827487
4	3	0.7144815
5	0	7.0005334e-17
5	1	0.0007645543
5	2	0.22026494
5	3	0.7789706
6	0	7.399298e-20
6	1	0.00021103352
6	2	0.17058663
6	3	0.8292024
7	0	7.820777e-23
7	1	5.8249814e-05
7	2	0.13183846
7	3	0.8681034
8	0	8.2662645e-26
8	1	1.607821e-05
8	2	0.10181635
8	3	0.89816767
9	0	8.737128e-29
9	1	4.4379335e-06
9	2	0.07861004
9	3	0.92138565
10	0	9.234813e-32
10	1	1.2249657e-06
10	2	0.060687244
10	3	0.9393117
11	0	9.760847e-35
11	1	3.3811702e-07
11	2	0.046849195
11	3	0.95315063
12	0	1.0316845e-37
12	1	9.332761e-08
12	2	0.036166094
12	3	0.963834
13	0	1.09045e-40
13	1	2.5760437e-08
13	2	0.027918957
13	3	0.9720812
14	0	1.15e-43
14	1	7.110438e-09
14	2	0.021552423
14	3	0.97844774
15	0	0.0
15	1	1.9626347e-09
15	2	0.016637681
15	3	0.9833625
16	0	0.0
16	1	5.4172966e-10
16	2	0.012843678
16	3	0.9871565
17	0	0.0
17	1	1.495291e-10
17	2	0.009914846
17	3	0.99008536
18	0	0.0
18	1	4.1273266e-11
18	2	0.0076538958
18	3	0.9923463
19	0	0.0
19	1	1.1392314e-11
19	2	0.005908525
19	3	0.99409163
20	0	0.0
20	1	3.1445252e-12
20	2	0.0045611635
20	3	0.995439
21	0	0.0
21	1	8.6795696e-13
21	2	0.00352105
21	3	0.9964791
22	0	0.0
22	1	2.395749e-13
22	2	0.0027181208
22	3	0.997282
23	0	0.0
23	1	6.6127855e-14
23	2	0.002098289
23	3	0.99790186
24	0	0.0
24	1	1.8252718e-14
24	2	0.0016198017
24	3	0.99838036
