sim	trial	strategy	p_actual	p_predicted
0	0	0	0.0	0.000439946
0	0	1	0.0	0.018290045
0	0	2	0.0	0.13571975
0	0	3	1.0	0.8455503
0	1	0	0.0	5.7093963e-08
0	1	1	0.0	0.0013046247
0	1	2	0.0	0.0722944
0	1	3	1.0	0.9264009
0	2	0	0.0	7.890383e-12
0	2	1	0.0	6.653154e-05
0	2	2	0.0	0.031071035
0	2	3	1.0	0.9688625
0	3	0	0.0	1.2303106e-15
0	3	1	0.0	3.6235801e-06
0	3	2	0.0	0.013277499
0	3	3	1.0	0.9867189
0	4	0	0.0	2.300231e-19
0	4	1	0.0	2.2381711e-07
0	4	2	0.0	0.006024426
0	4	3	1.0	0.99397534
0	5	0	0.0	5.2246804e-23
0	5	1	0.0	1.663221e-08
0	5	2	0.0	0.0030875222
0	5	3	1.0	0.99691254
0	6	0	0.0	1.3732018e-26
0	6	1	0.0	1.4986485e-09
0	6	2	0.0	0.0018992876
0	6	3	1.0	0.99810076
0	7	0	0.0	3.9185e-30
0	7	1	0.0	1.5546098e-10
0	7	2	0.0	0.0014185926
0	7	3	1.0	0.99858147
0	8	0	0.0	1.1613609e-33
0	8	1	0.0	1.7434346e-11
0	8	2	0.0	0.0012241327
0	8	3	1.0	0.9987759
0	9	0	0.0	3.468384e-37
0	9	1	0.0	2.025882e-12
0	9	2	0.0	0.0011454661
0	9	3	1.0	0.9988546
0	10	0	0.0	9.5967e-41
0	10	1	0.0	2.3689885e-13
0	10	2	0.0	0.0011136427
0	10	3	1.0	0.99888635
0	11	0	0.0	0.0
0	11	1	0.0	2.5625386e-14
0	11	2	0.0	0.0011007687
0	11	3	1.0	0.9988993
0	12	0	0.0	0.0
0	12	1	0.0	2.814033e-15
0	12	2	0.0	0.0009924419
0	12	3	1.0	0.9990076
0	13	0	0.0	0.0
0	13	1	0.0	2.1135707e-16
0	13	2	0.0	0.00094861956
0	13	3	1.0	0.99905145
0	14	0	0.0	0.0
0	14	1	0.0	1.8926359e-17
0	14	2	0.0	0.0005798774
0	14	3	1.0	0.99942017
0	15	0	0.0	0.0
0	15	1	0.0	1.9429335e-18
0	15	2	0.0	0.0004307071
0	15	3	1.0	0.99956936
0	16	0	0.0	0.0
0	16	1	0.0	2.0395004e-19
0	16	2	0.0	0.000370362
0	16	3	1.0	0.9996297
0	17	0	0.0	0.0
0	17	1	0.0	1.0171404e-20
0	17	2	0.0	0.00034595013
0	17	3	1.0	0.9996541
0	18	0	0.0	0.0
0	18	1	0.0	4.9711303e-22
0	18	2	0.0	0.00014053684
0	18	3	1.0	0.9998596
0	19	0	0.0	0.0
0	19	1	0.0	2.4671902e-23
0	19	2	0.0	5.7439345e-05
0	19	3	1.0	0.99994266
0	20	0	0.0	0.0
0	20	1	0.0	1.2689637e-24
0	20	2	0.0	2.3823237e-05
0	20	3	1.0	0.9999763
0	21	0	0.0	0.0
0	21	1	0.0	7.0453365e-26
0	21	2	0.0	1.0224233e-05
0	21	3	1.0	0.99998987
0	22	0	0.0	0.0
0	22	1	0.0	4.5002835e-27
0	22	2	0.0	4.7229178e-06
0	22	3	1.0	0.99999535
0	23	0	0.0	0.0
0	23	1	0.0	3.5469115e-28
0	23	2	0.0	2.4974254e-06
0	23	3	1.0	0.99999756
0	24	0	0.0	0.0
0	24	1	0.0	3.990071e-29
0	24	2	0.0	1.597129e-06
0	24	3	1.0	0.9999984
1	0	0	0.0	0.00046025848
1	0	1	0.0	0.018648203
1	0	2	0.0	0.13662769
1	0	3	1.0	0.84426385
1	1	0	0.0	6.341515e-08
1	1	1	0.0	0.0013692146
1	1	2	0.0	0.07363927
1	1	3	1.0	0.9249914
1	2	0	0.0	9.835416e-12
1	2	1	0.0	7.43935e-05
1	2	2	0.0	0.03253726
1	2	3	1.0	0.9673884
1	3	0	0.0	1.8260264e-15
1	3	1	0.0	4.569801e-06
1	3	2	0.0	0.014777813
1	3	3	1.0	0.98521763
1	4	0	0.0	4.1189926e-19
1	4	1	0.0	3.372055e-07
1	4	2	0.0	0.0075366125
1	4	3	1.0	0.99246305
1	5	0	0.0	1.0709847e-22
1	5	1	0.0	3.017812e-08
1	5	2	0.0	0.004604279
1	5	3	1.0	0.9953957
1	6	0	0.0	2.864159e-26
1	6	1	0.0	3.0968315e-09
1	6	2	0.0	0.0034178644
1	6	3	1.0	0.9965821
1	7	0	0.0	3.766649e-30
1	7	1	0.0	3.2495315e-10
1	7	2	0.0	0.0029379027
1	7	3	1.0	0.9970621
1	8	0	0.0	4.7908916e-34
1	8	1	0.0	1.6136412e-11
1	8	2	0.0	0.0027437387
1	8	3	1.0	0.9972563
1	9	0	0.0	5.919178e-38
1	9	1	0.0	7.801986e-13
1	9	2	0.0	0.0011099484
1	9	3	1.0	0.99889004
1	10	0	0.0	7.309e-42
1	10	1	0.0	3.7722938e-14
1	10	2	0.0	0.0004490178
1	10	3	1.0	0.999551
1	11	0	0.0	0.0
1	11	1	0.0	1.8239406e-15
1	11	2	0.0	0.0001816462
1	11	3	1.0	0.9998184
1	12	0	0.0	0.0
1	12	1	0.0	8.819181e-17
1	12	2	0.0	7.348418e-05
1	12	3	1.0	0.9999265
1	13	0	0.0	0.0
1	13	1	0.0	4.264582e-18
1	13	2	0.0	2.9728515e-05
1	13	3	1.0	0.99997026
1	14	0	0.0	0.0
1	14	1	0.0	2.0625296e-19
1	14	2	0.0	1.2027674e-05
1	14	3	1.0	0.99998796
1	15	0	0.0	0.0
1	15	1	0.0	9.979538e-21
1	15	2	0.0	4.867007e-06
1	15	3	1.0	0.9999952
1	16	0	0.0	0.0
1	16	1	0.0	4.8337135e-22
1	16	2	0.0	1.9702447e-06
1	16	3	1.0	0.99999803
1	17	0	0.0	0.0
1	17	1	0.0	2.3473847e-23
1	17	2	0.0	7.983935e-07
1	17	3	1.0	0.9999992
1	18	0	0.0	0.0
1	18	1	0.0	1.1472513e-24
1	18	2	0.0	3.2433493e-07
1	18	3	1.0	0.9999997
1	19	0	0.0	0.0
1	19	1	0.0	5.69385e-26
1	19	2	0.0	1.3256016e-07
1	19	3	1.0	0.9999999
1	20	0	0.0	0.0
1	20	1	0.0	2.9285498e-27
1	20	2	0.0	5.4979935e-08
1	20	3	1.0	0.99999994
1	21	0	0.0	0.0
1	21	1	0.0	1.6259423e-28
1	21	2	0.0	2.3595774e-08
1	21	3	1.0	1.0
1	22	0	0.0	0.0
1	22	1	0.0	1.038588e-29
1	22	2	0.0	1.0899681e-08
1	22	3	1.0	1.0
1	23	0	0.0	0.0
1	23	1	0.0	8.185661e-31
1	23	2	0.0	5.7636287e-09
1	23	3	1.0	1.0
1	24	0	0.0	0.0
1	24	1	0.0	9.208395e-32
1	24	2	0.0	3.6858987e-09
1	24	3	1.0	1.0
2	0	0	0.0	0.0050608804
2	0	1	0.0	0.1054793
2	0	2	0.0	0.35898095
2	0	3	1.0	0.53047884
2	1	0	0.0	6.657384e-07
2	1	1	0.0	0.015972722
2	1	2	0.0	0.4028239
2	1	3	1.0	0.58120275
2	2	0	0.0	8.473419e-11
2	2	1	0.0	0.0007940239
2	2	2	0.0	0.39136392
2	2	3	1.0	0.607842
2	3	0	0.0	1.048683e-14
2	3	1	0.0	3.8419734e-05
2	3	2	0.0	0.15910077
2	3	3	1.0	0.8408608
2	4	0	0.0	1.3011256e-18
2	4	1	0.0	1.8610108e-06
2	4	2	0.0	0.06444348
2	4	3	1.0	0.9355546
2	5	0	0.0	1.6242744e-22
2	5	1	0.0	9.038808e-08
2	5	2	0.0	0.026117237
2	5	3	1.0	0.9738826
2	6	0	0.0	2.0579045e-26
2	6	1	0.0	4.419049e-09
2	6	2	0.0	0.0106111765
2	6	3	1.0	0.98938876
2	7	0	0.0	2.6987046e-30
2	7	1	0.0	2.1949173e-10
2	7	2	0.0	0.004338304
2	7	3	1.0	0.9956617
2	8	0	0.0	3.8124896e-34
2	8	1	0.0	1.1309523e-11
2	8	2	0.0	0.0018006844
2	8	3	1.0	0.9981993
2	9	0	0.0	6.203819e-38
2	9	1	0.0	6.303628e-13
2	9	2	0.0	0.00077412004
2	9	3	1.0	0.99922585
2	10	0	0.0	1.4398e-41
2	10	1	0.0	4.0695027e-14
2	10	2	0.0	0.0003588355
2	10	3	1.0	0.9996411
2	11	0	0.0	0.0
2	11	1	0.0	3.4202333e-15
2	11	2	0.0	0.00019083706
2	11	3	1.0	0.99980915
2	12	0	0.0	0.0
2	12	1	0.0	5.7049093e-16
2	12	2	0.0	0.00012287528
2	12	3	1.0	0.9998771
2	13	0	0.0	0.0
2	13	1	0.0	3.0750893e-16
2	13	2	0.0	9.538215e-05
2	13	3	1.0	0.9999046
2	14	0	0.0	0.0
2	14	1	0.0	2.7983033e-16
2	14	2	0.0	8.426014e-05
2	14	3	1.0	0.9999157
2	15	0	0.0	0.0
2	15	1	0.0	2.7670364e-16
2	15	2	0.0	7.976085e-05
2	15	3	1.0	0.99992025
2	16	0	0.0	0.0
2	16	1	0.0	2.0968837e-17
2	16	2	0.0	7.628757e-05
2	16	3	1.0	0.9999237
2	17	0	0.0	0.0
2	17	1	0.0	1.8927053e-18
2	17	2	0.0	4.7061738e-05
2	17	3	1.0	0.999953
2	18	0	0.0	0.0
2	18	1	0.0	1.953099e-19
2	18	2	0.0	3.5238776e-05
2	18	3	1.0	0.9999647
2	19	0	0.0	0.0
2	19	1	0.0	2.060581e-20
2	19	2	0.0	3.0455938e-05
2	19	3	1.0	0.9999695
2	20	0	0.0	0.0
2	20	1	0.0	1.0872178e-21
2	20	2	0.0	2.8521095e-05
2	20	3	1.0	0.99997145
2	21	0	0.0	0.0
2	21	1	0.0	6.036277e-23
2	21	2	0.0	1.2240416e-05
2	21	3	1.0	0.9999878
2	22	0	0.0	0.0
2	22	1	0.0	3.855736e-24
2	22	2	0.0	5.6542603e-06
2	22	3	1.0	0.99999434
2	23	0	0.0	0.0
2	23	1	0.0	3.0389096e-25
2	23	2	0.0	2.989909e-06
2	23	3	1.0	0.999997
2	24	0	0.0	0.0
2	24	1	0.0	3.4185978e-26
2	24	2	0.0	1.9120769e-06
2	24	3	1.0	0.9999981
3	0	0	0.0	0.013789624
3	0	1	0.0	0.25368688
3	0	2	1.0	0.7324939
3	0	3	0.0	2.9592517e-05
3	1	0	0.0	4.211189e-06
3	1	1	0.0	0.04375392
3	1	2	1.0	0.9562094
3	1	3	0.0	3.2422122e-05
3	2	0	0.0	1.2855257e-09
3	2	1	0.0	0.0052331663
3	2	2	1.0	0.9947035
3	2	3	0.0	6.333259e-05
3	3	0	0.0	3.9135665e-13
