xtype	sim_id	trial	strategy	p
discrete	0	0	0	0.0
discrete	0	0	1	1.0
discrete	0	0	2	0.0
discrete	0	0	3	0.0
discrete	0	1	0	0.0
discrete	0	1	1	1.0
discrete	0	1	2	0.0
discrete	0	1	3	0.0
discrete	0	2	0	0.0
discrete	0	2	1	1.0
discrete	0	2	2	0.0
discrete	0	2	3	0.0
discrete	0	3	0	0.0
discrete	0	3	1	0.0
discrete	0	3	2	1.0
discrete	0	3	3	0.0
discrete	0	4	0	0.0
discrete	0	4	1	0.0
discrete	0	4	2	1.0
discrete	0	4	3	0.0
discrete	0	5	0	0.0
discrete	0	5	1	0.0
discrete	0	5	2	1.0
discrete	0	5	3	0.0
discrete	0	6	0	0.0
discrete	0	6	1	0.0
discrete	0	6	2	1.0
discrete	0	6	3	0.0
discrete	0	7	0	0.0
discrete	0	7	1	0.0
discrete	0	7	2	1.0
discrete	0	7	3	0.0
discrete	0	8	0	0.0
discrete	0	8	1	0.0
discrete	0	8	2	1.0
discrete	0	8	3	0.0
discrete	0	9	0	0.0
discrete	0	9	1	0.0
discrete	0	9	2	1.0
discrete	0	9	3	0.0
discrete	0	10	0	0.0
discrete	0	10	1	0.0
discrete	0	10	2	1.0
discrete	0	10	3	0.0
discrete	0	11	0	0.0
discrete	0	11	1	0.0
discrete	0	11	2	1.0
discrete	0	11	3	0.0
discrete	0	12	0	0.0
discrete	0	12	1	0.0
discrete	0	12	2	1.0
discrete	0	12	3	0.0
discrete	0	13	0	0.0
discrete	0	13	1	0.0
discrete	0	13	2	1.0
discrete	0	13	3	0.0
discrete	0	14	0	0.0
discrete	0	14	1	0.0
discrete	0	14	2	1.0
discrete	0	14	3	0.0
discrete	0	15	0	0.0
discrete	0	15	1	0.0
discrete	0	15	2	0.0
discrete	0	15	3	1.0
discrete	0	16	0	0.0
discrete	0	16	1	0.0
discrete	0	16	2	0.0
discrete	0	16	3	1.0
discrete	0	17	0	0.0
discrete	0	17	1	0.0
discrete	0	17	2	0.0
discrete	0	17	3	1.0
discrete	0	18	0	0.0
discrete	0	18	1	0.0
discrete	0	18	2	0.0
discrete	0	18	3	1.0
discrete	0	19	0	0.0
discrete	0	19	1	0.0
discrete	0	19	2	0.0
discrete	0	19	3	1.0
discrete	0	20	0	0.0
discrete	0	20	1	0.0
discrete	0	20	2	0.0
discrete	0	20	3	1.0
discrete	0	21	0	0.0
discrete	0	21	1	0.0
discrete	0	21	2	0.0
discrete	0	21	3	1.0
discrete	0	22	0	0.0
discrete	0	22	1	0.0
discrete	0	22	2	0.0
discrete	0	22	3	1.0
discrete	0	23	0	0.0
discrete	0	23	1	0.0
discrete	0	23	2	0.0
discrete	0	23	3	1.0
discrete	0	24	0	0.0
discrete	0	24	1	0.0
discrete	0	24	2	0.0
discrete	0	24	3	1.0
discrete	1	0	0	0.0
discrete	1	0	1	0.0
discrete	1	0	2	0.0
discrete	1	0	3	1.0
discrete	1	1	0	0.0
discrete	1	1	1	0.0
discrete	1	1	2	0.0
discrete	1	1	3	1.0
discrete	1	2	0	0.0
discrete	1	2	1	0.0
discrete	1	2	2	0.0
discrete	1	2	3	1.0
discrete	1	3	0	0.0
discrete	1	3	1	0.0
discrete	1	3	2	0.0
discrete	1	3	3	1.0
discrete	1	4	0	0.0
discrete	1	4	1	0.0
discrete	1	4	2	0.0
discrete	1	4	3	1.0
discrete	1	5	0	0.0
discrete	1	5	1	0.0
discrete	1	5	2	0.0
discrete	1	5	3	1.0
discrete	1	6	0	0.0
discrete	1	6	1	0.0
discrete	1	6	2	0.0
discrete	1	6	3	1.0
discrete	1	7	0	0.0
discrete	1	7	1	0.0
discrete	1	7	2	0.0
discrete	1	7	3	1.0
discrete	1	8	0	0.0
discrete	1	8	1	0.0
discrete	1	8	2	0.0
discrete	1	8	3	1.0
discrete	1	9	0	0.0
discrete	1	9	1	0.0
discrete	1	9	2	0.0
