epoch	loss	accuracy	solved	dataset
0	2.2002358	0.07617627	0.0	test
0	2.2002282	0.07612839	0.0	train
1	0.57261753	0.87073797	0.35822222	test
1	0.8849437	0.7249281	0.089600004	train
2	0.498837	0.90241975	0.4743889	test
2	0.5240052	0.8908397	0.4296	train
3	0.48095465	0.9143162	0.522	test
3	0.48301458	0.91145843	0.5015333	train
4	0.46259165	0.923155	0.537	test
4	0.4668385	0.92120165	0.5312667	train
5	0.45486298	0.9256344	0.527	test
5	0.45694116	0.9270998	0.5516	train
6	0.44852284	0.9322051	0.56961113	test
6	0.4522161	0.93024343	0.56168336	train
7	0.4420503	0.93637925	0.5911667	test
7	0.44452587	0.93452877	0.5780445	train
8	0.43868145	0.9386598	0.6018889	test
8	0.43907464	0.93785757	0.58915555	train
9	0.43593806	0.94044787	0.6072222	test
9	0.43937173	0.9375333	0.58802223	train
10	0.42721686	0.94535184	0.6256667	test
10	0.43062118	0.9427695	0.6082944	train
11	0.434776	0.9388285	0.5918889	test
11	0.42871907	0.94373345	0.6128611	train
12	0.4273519	0.94436073	0.61855555	test
12	0.42381045	0.94678175	0.62602776	train
13	0.4218492	0.946786	0.6076667	test
13	0.42027405	0.9488189	0.6323778	train
14	0.41378158	0.95343554	0.65605557	test
14	0.41745383	0.95047283	0.6390945	train
15	0.42175204	0.948013	0.62983334	test
15	0.41595092	0.9513958	0.64315003	train
16	0.41399994	0.95322084	0.66694444	test
16	0.41172954	0.95385975	0.65345556	train
17	0.4117432	0.9531282	0.64405555	test
17	0.41514042	0.9523808	0.6472889	train
18	0.40687704	0.9570926	0.6740556	test
18	0.4080641	0.95595163	0.66161114	train
19	0.40679523	0.9564664	0.66805553	test
19	0.40638432	0.95686495	0.6663389	train
20	0.40587255	0.9579458	0.68405557	test
20	0.40594855	0.957103	0.6685667	train
21	0.40328738	0.958072	0.67572224	test
21	0.40316376	0.95861584	0.6750778	train
22	0.40014976	0.95998764	0.6823889	test
22	0.40296844	0.9587046	0.6759	train
23	0.4022739	0.95846635	0.6756667	test
23	0.4005411	0.9598646	0.68246114	train
24	0.4000273	0.960393	0.6905	test
24	0.39940178	0.9605862	0.6849722	train
25	0.40025774	0.9603004	0.68833333	test
25	0.3985351	0.9609378	0.6883611	train
26	0.39678738	0.96172017	0.69144446	test
26	0.39762112	0.9614174	0.69016665	train
27	0.3978646	0.96084636	0.69177777	test
27	0.39746177	0.9616207	0.6899111	train
28	0.3989496	0.9603196	0.6827222	test
28	0.39569813	0.9624708	0.6955445	train
29	0.39648807	0.9615117	0.69816667	test
29	0.39441115	0.9631326	0.6973611	train
30	0.3948787	0.96322083	0.7083333	test
30	0.394511	0.96306086	0.6977444	train
31	0.3949859	0.96299314	0.70533335	test
31	0.39289674	0.9640029	0.7023111	train
32	0.39476094	0.9623909	0.69555557	test
32	0.39247918	0.964007	0.7030167	train
